"genre_ids","id","original_language","original_title","overview","popularity","release_date","title","vote_average","vote_count","revenue","budget","imdb_id","tagline","cast","director","imdb_rating","imdb_votes","production_companies","production_countries"
"10751, 16, 35",530,"en","A Grand Day Out","Wallace and Gromit have run out of cheese, and this provides an excellent excuse for the duo to take their holiday to the moon, where, as everyone knows, there is ample cheese.  Preserved by the Academy Film Archive.",4.052,"1990-05-18","A Grand Day Out",7.473,912,40118,17300,"tt0104361","","Peter Sallis","Nick Park",7.7,39775,"Aardman, NFTS","United Kingdom"
"18",244088,"it","Il capitale umano","The destinies of two families are irrevocably tied together after a cyclist is hit off the road by a jeep in the night before Christmas Eve.",3.579,"2013-12-03","Human Capital",7.47,909,5809330,6e+06,"tt2465578","","Riccardo Andreotti, Nicola Centonze, Luigi Lo Cascio, Luca Toracca, Sara Canali, Claudio Giombi, Fabrizio Gifuni, Alberto Ricchi, Salvatore Cristiano, Anna Lazzeri, Redeo Marocchi, Roberta Ferrante, Silvia Beillard, Stefania Monaco, Valeria Colombo, Franco Maino, Francesca Lancini, Saman Anthony, Enrico Ballardini, Fulvio Milani, Marco Merlini, Sofia Balossi, Federico Manfredi, Franco Pinelli, Valeria Bruni Tedeschi, Elettra Dallimore-Mallaby, Pia Engleberth, Matilde Gioli, Federica Fracassi, Paolo Pierobon, Alessandro Amoruso, Valeria Golino, Silvia Degrandi, Piero Lenardon, Gianluca Di Lauro, Silvia Cohen, Bernardino Sassoli De Bianchi, Vincent Nemeth, Giovanni Anzaldo, Guglielmo Pinelli, Isabelle Tanakil, Nicola Fossati, Alessandro Betti, Gigio Alberti, Fabrizio Bentivoglio, Miguel Lombardi, Cesare Gallarini, Emanuele Simonini, Francesco Ricchi, Stella Maris, Alessandro Milzoni, Bebo Storti, Erminia Paglia, Stefano Fiorentino","Paolo Virzì",7.2,13716,"Motorino Amaranto, Indiana Production, Manny Films, RAI Cinema","Italy"
"28, 18, 80",11344,"ko","달콤한 인생","Kim Sun-woo is an enforcer and manager for a hotel owned by a cold, calculative crime boss, Kang who assigns Sun-woo to a simple errand while he is away on a business trip; to shadow his young mistress, Hee-soo, for fear that she may be cheating on him with a younger man with the mandate that he must kill them both if he discovers their affair.",3.539,"2005-04-01","A Bittersweet Life",7.5,888,0,0,"tt0456912","When doing right goes very, very wrong.","Kim Seung-o, Yoon Jin-yool, Park Seon-woong, Jeong Yun-Heon, Kim Byeong-gook, Shin Min-a, Kim Tae-hee, Kim Yeong-cheol, Jo Jung-hee, Park Jin-woo, Kwon Chae-yeong, Jung Yu-mi, Choi Si-yeong, Lee Seung-ho, Eric Mun, Wang Deok-sang, Lee Byung-hun, Lee Ahn-gyoo, Seo Jeong-hee, Jang Han-seung, Seo Joon-ha, Ryoo Chang-hoon, Yoo Sang-seob, Jeong Won-kyeong, Kim Hee-jin, Kim Eun-ji, Jo Seung-ryong, Jeong Goo-jin, Choi Hyo-hyeon, Jeong Gye-soon, Song Sang-ook, Jeong Mi-hye, Nico, Hwang Jung-min, Kwak Min-ho, Kang Young-gu, Ahn Jang-hyeok, Jang Jae-yong, Kim In-oh, Domashchenko Vadym, Yoo Joo-hyeon, Lee Ji-hee, Hong Eun-mi, Kim Soo-nam, Jeon Na-hyeon, Song Jae-ha, Kang Min-hee, Kim Dae-yong, Hwang Dong-seok, Jeon Kuk-hwan, Kim Jae-ok, Oh Yoo-jin, Kim Roi-ha, Kim Ji-hoon, Kim Hyo-hyeon, Park Seong-gyoon, Kim Hae-gon, Jeon Hye-min, Lee Jae-ook, Lee Ki-young, Sonny, Heo Myeong-haeng, Jo Seon-haeng, Jin Goo, Oh Dal-su, Lee Hang-soo, Kim Han, Lee Han-sol, Kim Pan-seon, Lee Kyeong-won, Choi Chang-kyun, Park So-jeong, Kwon Ye-ji, Woo Sang-jeon, Park Jong-min, Oh Kwang-rok","Kim Jee-woon",7.5,44547,"Bom Film Productions, CJ Entertainment","South Korea"
"35, 18",9428,"en","The Royal Tenenbaums","Royal Tenenbaum and his wife Etheline had three children and then they separated. All three children are extraordinary --- all geniuses. Virtually all memory of the brilliance of the young Tenenbaums was subsequently erased by two decades of betrayal, failure, and disaster. Most of this was generally considered to be their father's fault. ""The Royal Tenenbaums"" is the story of the family's sudden, unexpected reunion one recent winter.",3.916,"2001-10-05","The Royal Tenenbaums",7.472,4612,71441250,2.1e+07,"tt0265666","Family isn't a word ... It's a sentence.","Brian Tenenbaum, Nova Landaeus-Skinnar, Max Faugno, Tatiana Abbey, Roger Shamas, James Fitzgerald, Gary Evans, Kalani Queypo, Leo Manuelian, Saidah Arrika Ekulona, Stephen Lea Sheppard, Kumar Pallana, Seymour Cassel, Gita Gabriel, William Sturgis, Luke Wilson, Greg Goossen, Aram Aslanian-Persico, Jennifer Wachtell, Owen Wilson, Grant Rosenmeyer, Sam Hoffman, Gene Hackman, Michael Conti, Tom Lacy, Keith Charles, Eric Chase Anderson, Ben Stiller, Donal Lardner Ward, Alec Baldwin, Bill Murray, Danny Glover, Mary Wigmore, Mel Cannon, Liam Craig, Larry Pine, Irina Gorovaia, Sanjay Mathew, Al Thompson, Amedeo Turturro, Ebon Moss-Bachrach, Jonah Meyerson, Sheelagh Tellerday, Guido Venitucci, Brian Smiar, Salim Malik, Sonam Wangmo, Peter Leung, Jan Austell, Stephen Dignan, Frank Wood, Vic Mata, Pawel Wdowczak, Gwyneth Paltrow, Andrew Wilson, Wes Anderson, Anjelica Huston, Don McKinnon, Rex Robbins, Philip Denning, Amir Raissi, Dipak Pallana, Rony Clanton","Wes Anderson",7.6,320664,"Touchstone Pictures, American Empirical Pictures","United States of America"
"18, 27, 878",3035,"en","Frankenstein","Tampering with life and death, Henry Frankenstein pieces together salvaged body parts to bring a human monster to life; the mad scientist's dreams are shattered by his creation's violent rage as the monster awakens to a world in which he is unwelcome.",3.541,"1931-11-21","Frankenstein",7.5,1617,1.2e+07,291000,"tt0021884","THE MAN WHO MADE A MONSTER","Inez Palange, Arletta Duncan, William Dyer, Lionel Belmore, Ted Billings, Jack Curtis, Carmencita Johnson, Rose Plumer, Mae Clarke, Robert Milasch, Soledad Jiménez, Pauline Moore, Cecilia Parker, Ellinor Vanderveer, Margaret Mann, Marilyn Harris, Michael Mark, Mae Bruce, Seessel Anne Johnson, Francis Ford, Colin Clive, Dwight Frye, Boris Karloff, Edward Van Sloan, John Boles, Frederick Kerr, Paul Panzer, Cecil Reynolds","James Whale",7.8,83069,"Universal Pictures","United States of America"
"18, 10749",239571,"en","The Best of Me","A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.",3.612,"2014-10-15","The Best of Me",7.5,2601,35926213,2.6e+07,"tt1972779","You never forget your first love.","Jordan Smith, Robby Rasmussen, Brian Les Weinberger, Kesha Bullard, Sebastian Arcelus, David Jensen, Julia Lashae, Michelle Monaghan, Jim Gleason, Matthew Metzger, Sean Bridgers, Laura Jeanne Meyer, Gerald McRaney, Bailey Winston, Jon Tenney, Ian Nelson, Caroline Goodall, Caroline Hebert, Douglas M. Griffin, Donna DuPlantier, Mia Frost, Jimmy Gonzales, Brittany Buckner, Rob Mello, Keith Cieslinski, Luke Bracey, Hunter Burke, Virgil Brent Allen, Schuyler Fisk, Liana Liberato, Bill Martin Williams, Clarke Peters, Thomas Ryan Smith, James Marsden","Michael Hoffman",6.7,79158,"Relativity Media","United States of America"
"35, 10749",42801,"it","Ieri, oggi, domani","Three tales of very different women using their sexuality as a means to getting what they want.",3.6,"1963-12-21","Yesterday, Today and Tomorrow",7.471,430,0,0,"tt0057171","They're in Love Three Times and Three Ways...In One Movie!","Pasquale Cennamo, Carlo Croccolo, Gianni Ridolfi, Silvia Monelli, Marcello Mastroianni, Sophia Loren, Armando Trovajoli, Agostino Salvietti, Lino Mattera, Gennaro Di Gregorio, Aldo Giuffrè, Tonino Cianci, Tecla Scarano, Tina Pica","Vittorio De Sica",7.2,10670,"Les Films Concordia, C. C. Champion","France, Italy"
"12, 18, 28",32909,"zh","花木兰","When barbarian hordes threaten her homeland, the brave and cunning Mulan disguises herself as a male soldier to swell the ranks in her aging father's stead. The warrior's remarkable courage drives her through powerful battle scenes and brutal wartime strategy. Mulan loses dear friends to the enemy's blade as she rises to become one of her country's most valuable leaders — but can she win the war before her secret is exposed?",3.58,"2009-11-26","Mulan: Rise of a Warrior",7.5,429,13380561,1.2e+07,"tt1308138","Warrior. Princess. Legend.","Li Shu, Xu Min, Yu Rongguang, Li Guangxu, Liu Changsheng, Jaycee Chan, Hou Tongjiang, Liu Yuefei, Zhao Wei, Guo Jiaming, Xu Jiao, Li Guofeng, Chen Kun, Sun Zhou, Song Guangcheng, Wang Xinglei, Wang Lu, Vitas, Hu Jun, Nicky Lee, Kang Fuzhen","Jingle Ma Choh-Sing",6.6,7012,"Starlight International Media, Shanghai Film Group, Bona Film Group, TIK Films, Beijing Gallop Horse Film & TV Production","China, Hong Kong"
"18",32761,"de","Der siebente Kontinent","Chronicles three years of a middle class family seemingly caught up in their daily routines, only troubled by minor incidents. Behind their apparent calm and repetitive existence however, they are actually planning something sinister.",3.533,"1989-10-20","The Seventh Continent",7.5,312,0,0,"tt0098327","","Leni Tanzer, Birgit Doll, Georg Friedrich, Georges Kern, Silvia Fenz, Elisabeth Rath, Dieter Berner, Udo Samel, Robert Dietl","Michael Haneke",7.6,17980,"Wega Film","Austria"
"10749, 18, 35",431937,"fr","Mr & Mme Adelman","How did Sarah and Victor get along for more than 45 years? Who was this enigmatic woman living in the shadow of her husband? Love, ambition, betrayals and secrets feed the story of this extraordinary couple, as they experience both the large and small moments of the last century's history.",3.538,"2017-03-08","Mr & Mme Adelman",7.5,443,0,5983685,"tt6095616","","Thierry Dufournaud, Zabou Breitman, Betty Reicher, Camille de Sablet, Anne-Aymone Giscard d'Estaing, Julien Boisselier, Hortense Monsaingeon, Marius Bret Collier, Lucie Fagedet, Julie Delarme, Méziane Djahlat, Francine Olivier, Jean-Pierre Carlier, Laetitia de Fombelle, Gaël Giraudeau, Catherine Artigala, Lola Bessis, Joakim Latzko, Niki Zischka, Gérald NGuyen Ngoc, Serpentine Teyssier, André Antebi, Jean-Pierre Lorit, Ophélia Kolb, Doria Tillier, Fleur Geffrier, Michel Drucker, Louis Quinn, Ronald Guttman, Volodia Serre, Adeline Godard, Nicolas Bedos, Jacques Chirac, Grégory Kristoforoff, Vincent Launay-Franceschini, Marc Quenum, Christiane Millet, Franz Lang, Solveig Maupu, Sébastien Chassagne, Mélanie Vaugeois, Nicolas Briançon, François Mitterrand, Carole Rochelle, Marion Christmann, Christophe Istier, Athena Zelcovich, Grégoire Tachnakian, Laurent Manzoni, Solange Najman, Alain Guillo, Pascal Decolland, Jack Lang, Gilles Kneusé, Antoine Gouy, Martin Magli, Denis Podalydès, David Foenkinos, Clémence Thioly, Pierre Arditi","Nicolas Bedos",7.3,6016,"Le Pacte, Les Films du Kiosque, Canal+, France Télévisions, Ciné+, France 2 Cinéma, uFund, Orange Studio, Indéfilms 4, Cinéventure","Belgium, France"
"18",377273,"pt","Aquarius","Clara, a vibrant former music critic and widow with flowing tresses is the only remaining apartment owner in a beautiful older building targeted for demolition by ruthless luxury high-rise developers. Clara proves to be a force to be reckoned with as she thwarts the builders plans to kick her out of the apartment.",3.538,"2016-09-01","Aquarius",7.5,466,285930,762241,"tt5221584","","Chico Ludermir, Germano Melo, Pedro Queiroz, Amanda Gabriel, Bruno Goya, Mariquinha Santos, Cristina Klein, Sônia Braga, Clarice Latache, Rubens Santos, Humberto Carrão, Bernardo Sampaio, Fernando Teixeira, Daniel Porpino, Pedro Costa, Paula De Renor, William Wallace, Clarissa Pinheiro, Joana Gatis, Pri Buhr, Bárbara Colen, Lula Terra, Fábio Leal, Arly Arnaud, Normando Roberto, Marília Souto, Allan Souza Lima, Yuri Holanda, Lilian Perman, Nuno Pessoa, Tavinho Teixeira, Carla Ribas, Edilson Silva, Rodrigo Rizsla, Leo Wainer, Zoraide Coleto, Irandhir Santos, Andrea Rosa, Valdeci Junior, Vânia Mota, João Vigo, Rejane Moraes, Thaia Perez, Julia Bernat, Maeve Jinkings, Buda Lira, Erick Silva, Telma Cunha, Maria Alves, Dora Costa, Nivaldo Nascimento","Kleber Mendonça Filho",7.4,21229,"SBS Productions, CinemaScópio, Globo Filmes, VideoFilmes","Brazil, France"
"35",38396,"it","Così è la vita","Con man Aldo breaks out of jail and seizes a car at gunpoint, taking its passengers—bumbling police officer Giacomo and nitpicking civilian Giovanni—hostages. An unlikely friendship blossoms.",3.532,"1998-12-18","That's Life",7.471,1330,0,0,"tt0166556","","Fabrizio Ambrassa, Saturno Brioschi, Aldo Baglio, Elena Giusti, Giovanni Cacioppo, Fabrizio Emilio La Marca, Gianfranco Mattioli, Emanuela Rossi, Stefania Di Nardo, Roberto Bigherati, Fabio Biaggi, Arturo Brachetti, Bobby Rhodes, Rodolfo Rezzoli, Franco Filogamo, Cesare Gallarini, Leo Mantovani, Antonio Catania, Carlina Torta, Augusto Zucchi, Franco Gargia, Giorgio Centamore, Girolamo Di Stolfo, Giacomo Poretti, Giovanni Storti, Francesco Pannofino, Carla Monti, Marina Massironi, Mohamed El Sayed, Roberto Marelli, Fausto Caroli, Marco Pagani, Vanni Fois","Massimo Venier, Aldo Baglio, Giovanni Storti, Giacomo Poretti",7,5738,"Medusa Film, A.Gi.Di., Kubla Khan, Rodeo Drive","Italy"
"18, 36, 10752",9665,"en","Glory","Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.",3.544,"1989-12-15","Glory",7.5,1647,26800000,1.8e+07,"tt0097441","Their innocence. Their heritage. Their lives.","Jay Lance, Jane Alexander, Ted Rupel, Raymond St. Jacques, Sheila Cochran, Pete Munro, Larry Peterson, Daniel H. Jenkins, Raymond Godshall Jr., Matthew Broderick, Tom Barrington, John Finn, Morgan Freeman, Carla Brothers, Richard Riehle, Barry J. Miller, Rachel Lea Grundfast, Dan Biggers, Rodger Williamson, Frank Blair, Peter Michael Goetz, Alan North, Cary Elwes, Bill Chemerka, Donovan Leitch, RonReaco Lee, Benji Wilhoite, Cliff DeYoung, Ethan Phillips, Rick Leisenring, Paul Desmond, Saundra Dunson-Franks, Abdul Salaam El Razzac, Michael Fowler, Joseph Alex, Afemo Omilami, Alejandro de Quesada, Gary O. Crane, Roger Ragland, Denzel Washington, Marc Gowan, Kevin Jarre, Randell Haynes, Bill Nunn, JD Cullum, Mark A. Jones, Michael Wayne Thomas, Bob Minor, Keith Noble, Bob Gunton, William Mathis, Andre Braugher, Shane Pinson, Richard Wright, Mark A. Levy, Mark Margolis, Jihmi Kennedy, Peter Grandfield, Jay O. Sanders, Joan Riordan, Michael Guess, Kevin R. Hershberger, Christian Baskous, Matthew Murdzak","Edward Zwick",7.8,148560,"Freddie Fields Productions, TriStar Pictures","United States of America"
"35",4593,"fr","Le Charme discret de la bourgeoisie","In Luis Buñuel’s deliciously satiric masterpiece, an upper-class sextet sits down to dinner but never eats, their attempts continually thwarted by a vaudevillian mixture of events both actual and imagined.",3.576,"1972-09-15","The Discreet Charm of the Bourgeoisie",7.47,821,103230,8e+05,"tt0068361","","Michel Piccoli, Claude Piéplu, Milena Vukotić, Stéphane Audran, Bernard Musson, Pierre Maguelon, Maxence Mailfort, Claude Jaeger, Jacques Rispal, Madeleine Bouchez, Roger Caccia, Alix Mahieux, Pierre Lary, Amparo Soler Leal, Robert Le Béal, Robert Party, Jean-Michel Dhermay, Diane Vernon, Anne-Marie Deschodt, Jean-Pierre Cassel, Robert Benoît, Jean Degrave, Muni, François Guilloteau, François Maistre, Ellen Bahl, Paul Frankeur, Bulle Ogier, Sébastien Floche, Georges Douking, Fernando Rey, Delphine Seyrig, Olivier Bauchet, Julien Bertheau, Jean-Claude Jarry, Maria Gabriella Maione, Jean Revel, Christian Baltauss","Luis Buñuel",7.8,48612,"Greenwich Film Production","France, Italy, Spain"
